version,case,theta_opt,beta_opt,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,26,0.03445700441916867,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,27,0.056020165848932275,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,28,0.023237915187129837,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,29,0.00760178408865012,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,30,0.021443879745173765,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,31,0.13079263984996675,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,32,0.2026494301749344,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,33,0.4135897446446154,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,34,0.26893277811518773,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,35,0.18449082392983895,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,36,0.11873001703184521,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,37,0.08890663954598511,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,38,0.29250948360834056,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,39,0.30268615251075315,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,40,0.8141056384308368,1
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,41,0.29812133665035384,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,42,0.23737338291008783,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,43,0.06681820621277924,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,44,0.1069750217714728,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,45,0.20285636896551879,0
V5,07_2d_small_diagonal_block,2.4683942278205517,0.7994231306009741,0.7857142857142857,0.2544642857142857,46,0.298857314098848,0
