version,case,theta_over_pi,beta_over_pi,r,P_valid,is_selected_r
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,9,0.8630836110551394,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,10,0.9124871415890357,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,11,0.934910985080246,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,12,0.9311176081855974,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,13,0.9068965950601072,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,14,0.870232961380914,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,15,0.8276691853030351,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,16,0.7817123513355408,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,17,0.7307107270876411,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,18,0.6713267497180055,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,19,0.6022508217325815,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,20,0.5270025287529757,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,21,0.4540840032061343,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,22,0.3942179481834463,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,23,0.3561048209159938,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,24,0.3430605128588491,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,25,0.3524507345639631,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,26,0.3782263718963873,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,27,0.4150104054273558,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,28,0.4612076805345121,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,29,0.5191383671128599,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,30,0.5919776970717294,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,31,0.6792876299071936,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,32,0.7739396990707692,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,33,0.8625897591349806,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,34,0.9298831741663228,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,35,0.964372885611284,1
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,36,0.9630226068340464,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,37,0.9318390179141482,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,38,0.8822887530987402,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,39,0.8255059408942194,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,40,0.7675162000306555,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,41,0.7080676728752462,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,42,0.6435252429116962,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,43,0.5718923544465527,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,44,0.4967788949681179,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,45,0.4277706857780828,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,46,0.3768080865690317,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,47,0.352585488039647,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,48,0.3562229695005581,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,49,0.3807974888351388,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,50,0.4151281505923869,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,51,0.4497571821923551,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,52,0.4817768999080045,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,53,0.515771081856784,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,54,0.5603128169625998,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,55,0.6219490858730004,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,56,0.7000003268274391,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,57,0.7850460046188497,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,58,0.8619477079804363,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,59,0.9158339904413554,0
V4,03_1d_two_free_regions,0.0267857142857142,0.0625,60,0.937973357771726,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,1,0.3448804038082418,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,2,0.4736104352769288,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,3,0.6470197530010433,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,4,0.7845216832294818,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,5,0.8022523862081691,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,6,0.6967462730654118,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,7,0.5534575716855558,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,8,0.4621125545681886,0
V4,04_1d_clustered_medium,0.1071428571428571,0.1071428571428571,9,0.4446174585394096,0
